uuid,cian_id,url,city,zone,district,street,house,description,floor_number,rooms_count,total_area,kitchen_area,living_area,agent_fee,deposit,price,build_year,total_floors,is_apartments,time_add
e3505cf6-a815-11ef-9564-168f5e928f4c,310275348,https://www.cian.ru/rent/flat/310275348/,Москва,ЗАО,р-н Очаково-Матвеевское,Нежинская улица,8,"БЕЗ КОМИССИИ ДЛЯ АРЕНДАТОРА. Предлагается квартира с потрясающим видом на центр ""Москва-Сити"" в комплексе ""Нежинский ковчег"" в экологически благоприятном районе. Гостиная с кинотеатром объединена с современной кухней с полным комплектом встроенной техники. Оборудованы две ванные комнаты, а также кладовая и гардеробная для поддержания порядка. Установлены полы с подогревом и сплит-система.

На охраняемой территории комплекса есть паркинги и детская площадка. У дома расположились магазины, фитнес, сквер им. Анны Герман и Долина реки Сетунь. Удобный выезд на Аминьевское шоссе и Кутузовский проспект. В 1-2 минутах - остановка общественного транспорта.

 - Страховой депозит можно оплатить 2-мя частями.
 - Аренда возможна с 27 ноября.
 - В стоимость входит 1 место на подземной парковке.
 - Дом находится на охраняемой территории.

 - Квартиру представляет агент Capital Mars - Валерия.
 - Квартиру представляет агент Capital Mars - Валерия.
 - ID объекта 102968.",19,3,135.0,15.0,80.0,0,250000,250000,2005,25,False,1732199319
eece867c-a7eb-11ef-9564-168f5e928f4c,310260416,https://www.cian.ru/rent/flat/310260416/,Москва,ВАО,р-н Восточное Измайлово,9-я Парковая улица,16,"Предлагается 2-комнатная квартира общей площадью 44 м² недалеко от станции метро ""Первомайская"". Для комфортного проживания в наличии имеется вся необходимая мебель. Кухонный гарнитур оснащен духовой печью. Подключена стиральная машина. Из дополнительных преимуществ - наличие балкона. Окна обращены на улицу.

 - Страховой депозит можно оплатить 2-мя частями.
 - Можно с детьми и животными.

 - Объект представляет агент Capital Mars - Артем.
 - ID объекта 469752.",3,2,44.0,5.0,30.0,50,60000,60000,0,5,False,1732181292
fd19c131-a715-11ef-9564-168f5e928f4c,310191071,https://www.cian.ru/rent/flat/310191071/,Москва,ВАО,р-н Гольяново,Амурская улица,2,"Cдаeтся в дoлгоcрочную аренду блaгоуcтрoeнная квартира студийной планировки с хорошим  ремонтом, которая идеально подойдет для вас. 
Предлагаем уютную Квартиру , c Оборудованной  техникой для проживания. 
 
Тёплая и уютная квартира 
Порядочные соседи. 
Метро в шаговой доступности. 
Магазины банки всё рядом.  
 
Животные и дети  ( кол-во ) обговариваются отдельно собственником каждый случай  индивидуален , мы сделаем все возможное чтоб вас рассмотрели.  
 
Показываем квартиру собственником и всегда просим чтоб они были с документами для заключения договора. 
Если вам надо заселиться в день в день то мы с этим поможем. 
 
Если вы выбираете нас , вы всегда будите первым на показе квартире. 
Звоните хорошие варианты сдаются очень быстро. 
 
 
У собственника могут быть предпочтения по составом жильцов.",30,1,20.0,8.0,0.0,50,55000,55000,2024,32,False,1732088976
ab1d03ab-a826-11ef-9564-168f5e928f4c,310280981,https://www.cian.ru/rent/flat/310280981/,Москва,ВАО,р-н Соколиная гора,Медовый переулок,5,"Сдаётся 1-комнатная квартира площадью 20 кв.м. с дизайнерским ремонтом на 4 этаже в 5-этажном доме. Из техники есть:
 Телевизор
 Стиральная машина
 Микроволновка
 
Дом - кирпичный, окна выходят на улицу. В подъезде 1 лифт - 0 грузовых и 1 пассажирский. Во дворе есть бесплатная парковка.
 
Коммунальные услуги по счетчикам оплачиваются дополнительно.",4,1,20.0,0.0,0.0,0,0,82000,0,5,True,1732206429
9901ed90-a70d-11ef-9564-168f5e928f4c,310188736,https://www.cian.ru/rent/flat/310188736/,Москва,ЗАО,р-н Можайский,Можайское шоссе,20,"Здравствуйте! Я владелец уютной студии площадью 33 квадратных метра, которая полностью готова к вашему заселению. Студия расположена на 6-м этаже 9-ти дома, который недавно прошел капитальный ремонт. Подъезд чистый и ухоженный.
         В квартире вас ждёт стильный дизайн и ремонт 2016 года, а также вся необходимая мебель: кондиционер, холодильник, плита и стиральная машина. Кроме того, есть застеклённый балкон со шкафчиками и встроенный шкаф в прихожей для хранения ваших вещей.
         Я готов сдать эту студию в аренду на длительный срок для 1-2 взрослых людей без детей и животных. Договор аренды будет подписан, а залог составит 100% стоимости аренды. Также оплачиваются электричество и вода.
        В центр города удобно добираться от ближайшей автобусной остановки, или 14 мин до  D1 Рабочий посёлок. Если вы на машине, то прямо перед домом есть удобный разворот в сторону центра.
В доме есть Магнолия, в соседнем работают магазины Озон и ВБ, рядом находятся банк и больница. Также есть парковка.",6,1,33.0,0.0,0.0,0,50000,60000,1964,9,False,1732086006
612169d2-a71e-11ef-9564-168f5e928f4c,310195254,https://www.cian.ru/rent/flat/310195254/,Москва,ЗАО,р-н Очаково-Матвеевское,Очаковское шоссе,5,"Сдается в аренду отличный вариант!
Уютная квартира с прекрасным ремонтом, где царит атмосфера умиротворения.
Просторная кухня с современным кухонным гарнитуром.
Все необходимое для комфортной жизни.
Вдохновляющий вид из окна, который заряжает позитивом.

Ваши преимущества:
Тихий двор, развитая инфраструктура, шаговая доступность, удобная планировка, близость к парку, магазинам, метро.

Хотите узнать больше?
Звоните нам!
AGORA - ваши надежные партнеры в поиске идеального жилья!",2,2,35.0,10.0,17.0,50,105000,115000,0,17,False,1732092965
09d3ca6e-a742-11ef-9564-168f5e928f4c,310223472,https://www.cian.ru/rent/flat/310223472/,Москва,ЦАО,р-н Тверской,Новолесная улица,6,"Уютная, светлая квaртиpa в тиxoм цeнтре Моcквы. Оборудована мебелью и новой техникой для комфортного проживания. Развитая инфраструктура. В пeшей доcтупнocти дo трex cтaнций мeтpo. Рядом Депо, peйтингoвыe шкoлы, мaгaзины,. Дом вo двopе. Кoмнаты изoлированные. Еcть гаpдeробная. Санузел cовмeщeнный.
В квapтире вcя мeбель, кондиционeр, ТВ, пoсудoмoeчнaя и стиpaльнaя мaшины.
С дeтьми МОЖНО.
Оперативный показ.",7,3,63.0,7.0,46.0,50,115000,115000,1968,9,False,1732108334
ca1eb3da-a813-11ef-9564-168f5e928f4c,310275121,https://www.cian.ru/rent/flat/310275121/,Москва,ЮАО,р-н Орехово-Борисово Южное,Воронежская улица,1,"Квартира сдаётся через сервис ""ПИК-Аренда"" — её можно посмотреть когда Вам удобно: бронируете время, забираете ключи или встречаетесь с нашим представителем и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды.

Сдаётся уютная 1-комнатная квартира с балконом в тихом районе. Полы — паркет и плитка. Есть вся необходимая мебель и техника для комфортного проживания: холодильник, телевизор, микроволновка, электрический чайник, блендер, пылесос и стиральная машина. По желанию жильцов собственник может заменить кровать на большой двуспальный диван.

Собственник готов заселить не более 2 взрослых жильцов с детьми. Можно с небольшим домашним питомцем. 

В районе развитая инфраструктура, рядом с домом находятся: школа, детский сад, поликлиника, стоматология, аптека, продуктовые супермаркеты Магнит и Пятёрочка, ТЦ Облака и Домодедовский. 

До м. Домодедовская — 3 минуты пешком. В 7 минутах от дома есть остановка общественного транспорта, от которой за 12 минут можно доехать до станции МЦД-2 Москворечье.",17,1,36.8,8.0,19.3,50,0,57700,1987,17,False,1732198736
2edb341e-a71a-11ef-9564-168f5e928f4c,310193156,https://www.cian.ru/rent/flat/310193156/,Москва,ЮАО,р-н Нагатино-Садовники,улица Академика Миллионщикова,16,"ЗАМЕЧАТЕЛЬНОЕ  ПРЕДЛОЖЕНИЕ! 
КВАРТИРА С КАЧЕСТВЕННЫМ РЕМОНТОМ! РЯДОМ 3 станции МЕТРО! Очень хорошая светлая и уютная трехкомнатная квартира распашонка  со свежим евро-ремонтом. ВЫСОКИЙ 1-ый этаж! ЗАКРЫТЫЙ ТАМБУР на 2 квартиры! В доме был капитальный ремонт. Квартира имеет отличную планировку:  комфортная квадратная кухня с красивым встроенным и вместительным кухонным гарнитуром, три изолированные комнаты, одна из которых с выходом на обустроенную лоджию, раздельный санузел в красивой плитке, просторный коридор. Полностью оборудована мебелью!  В  каждой комнате диваны, комоды, шкафы с зеркалами и пр. дополнительная мебель. В коридоре небольшой шкаф с зеркалом. Вся необходимая бытовая техника: стиральная машина,  плита, хороший духовой шкаф, СВЧ, большой двухкамерный холодильник, телевизор. Стеклопакеты, новые батареи, на полу ламинат, светлые обои, качественная сантехника. Окна на 2 стороны, установлены решетки. Хорошие соседи, чистый подъезд. Прекрасное место для жизни. Спокойный,  тихий, зеленый и ухоженный двор, напротив дома небольшой сквер, две большие детские площадки, спортивная и баскетбольная площадка, много мест для парковки. Доступны 3 станции метро: Коломенская, Каширская и Нагатинская  - пешком 20 минут, транспортом 5 минут (автобусы ходят очень часто), около дома несколько остановок.  В шаговой доступности музей  заповедник  Коломенское, парк Садовники, Нагатинская набережная.  В окружении абсолютно все необходимое для жизни:  детские сады, школы, лицеи, банки, супермаркеты, университеты, поликлиники и больницы, 2 ТРЦ, рынки.  
У собственника есть предпочтения по арендаторам, сдается на длительный срок! Показы по предварительной договоренности, звоните!",1,3,60.0,6.0,43.0,100,75000,75000,1973,9,False,1732091044
f0d619f7-a73f-11ef-9564-168f5e928f4c,310221984,https://www.cian.ru/rent/flat/310221984/,Москва,ЦАО,р-н Хамовники,улица Хамовнический Вал,28,"ВАШЕМУ ВНИМАНИЮ!

Сдаётся уютная 2-комнатная квартира в Москве на улице Хамовнический Вал, 28. Общая площадь квартиры составляет 65 квадратных метров, жилая площадь — 45 квадратных метров, а кухня — 9 квадратных метров. Квартира расположена на 4 этаже 8-этажного блочного дома 1958 года постройки. Высокие потолки в 3 метра и окна, выходящие во двор, создают ощущение простора и уюта. В квартире есть один балкон.

Квартира с современным евроремонтом. В комнате и на кухне есть вся необходимая мебель. Из техники в вашем распоряжении: кондиционер, холодильник, телевизор и стиральная машина. Ванная комната оборудована как душевой кабиной, так и ванной, что позволяет выбрать наиболее комфортный вариант для расслабления после рабочего дня.

Дом оборудован пассажирским лифтом и мусоропроводом, что делает проживание здесь ещё более комфортным. Для вашего автомобиля предусмотрена наземная парковка.

Район обладает развитой инфраструктурой. В пешей доступности находятся школы, детские сады, клиники, а также магазины, что делает это место идеальным для семейного проживания. Удобное транспортное сообщение позволяет быстро добраться до центра города и других районов Москвы.

Приглашаем вас на просмотр, чтобы убедиться в достоинствах этой квартиры лично. Не упустите возможность арендовать жилье в одном из лучших районов Москвы! Звоните и записывайтесь на удобное время!",4,2,65.0,9.0,45.0,50,100000,100000,1958,8,False,1732107846
4d6f752e-a809-11ef-9564-168f5e928f4c,310270929,https://www.cian.ru/rent/flat/310270929/,Москва,ЮАО,р-н Нагатино-Садовники,2-й Нагатинский проезд,2,"Сдаётся уютная студия в Москве, по адресу: 2-й Нагатинский проезд, 2/2к2. Общая площадь квартиры составляет 19.8 кв. м, она располагается на 12 этаже современного 33-этажного дома, построенного в 2024году. Из окон открывается вид во двор, что обеспечивает тишину и спокойствие.

Квартира с евроремонтом, светлая и современная. В студии есть вся необходимая мебель на кухне и в комнате. Оснащена современной техникой: кондиционер, холодильник, телевизор, стиральная машина. В ванной комнате установлена душевая кабина, что экономит пространство и удобно в использовании.

Дом новый, с отличной инфраструктурой. В здании есть четыре грузовых лифта, что удобно для подъема на 12 этаж. Наземная парковка позволяет без труда найти место для автомобиля. Интернет подключен, а значит всегда можно оставаться на связи.

Вокруг дома развитая инфраструктура: в шаговой доступности находятся школы, детские сады, клиники и магазины. Отличная транспортная доступность, что позволяет быстро добраться до любых точек города.

Условия аренды: договор на длительный срок, рассмотрим всех желающих. Предпочтение отдаем порядочным и ответственным арендаторам. Залог один месяц.

Приглашаем на просмотр! Записывайтесь и приходите увидеть эту замечательную студию своими глазами.",12,0,19.8,5.1,9.7,0,65000,65000,2023,33,False,1732193475
6db6b58c-a74a-11ef-9564-168f5e928f4c,310227360,https://www.cian.ru/rent/flat/310227360/,Москва,ЮАО,р-н Орехово-Борисово Южное,Елецкая улица,9,"Сдаём в 7-9 минутах пешком от метро Домодедовская или  Зябликово  полноценную большую 1 -комнатную квартиру . . Дети и животные обсуждаются. Оперативный показ.Звоните!
-----
Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону",8,1,40.0,8.5,19.0,100,45000,45000,1978,12,False,1732111532
29096a15-a72f-11ef-9564-168f5e928f4c,310204468,https://www.cian.ru/rent/flat/310204468/,Москва,НАО (Новомосковский),м. Рассказовка,улица Бианки,3,"Заселение с 01 декабря.,. Отличная ЕВРОДВУШКА (после перепланировки), с ЕВРО ремонтом.,. См. ФОТО.,. 
Вся МЕБЕЛЬ и БЫТОВАЯ ТЕХНИКА - (СВЧ, Холодильник, Стиральная машина, 2 (два) телевизора) в отличном состоянии + 2 новых дивана, 2 ТВ.,.  В прихожей - 2 больших, вместительных шкафа-купе.,. Сан узел раздельный в плитке до потолка - Евростандарт. 
ИНФРАСТРУКТУРА: в шаговой доступности - торговые центры, сетевые магазины, аптеки, банки, почта, школа. детский сад и т.д. ,. Рядом с домом остановка общественного транспорта (автобусная).,. От дома до метро Филатов луг, ближе чем до метро Рассказовка - всего 4 (четыре) остановки  на автобусе.
Сдаётся на длительный срок.,. Для 1-3 человек, можно с ребёнком от 7 лет.,. БЕЗ ЖИВОТНЫХ.,. Звоните, ответим на все интересующие Вас вопросы и согласуем просмотр.",10,2,43.0,7.0,27.0,85,55000,55000,2015,19,False,1732099962
ea41b582-a754-11ef-9564-168f5e928f4c,310230732,https://www.cian.ru/rent/flat/310230732/,Москва,ЮВАО,р-н Люблино,Люблинская улица,74,"Если видите объявление  предложение АКТУАЛЬНО, фотографии настоящие. 
 Не откладывайте Ваш звонок и просмотр   хорошие квартиры СДАЮТСЯ ОЧЕНЬ БЫСТРО  Звучит банально, мы знаем, но это правда, поверьте!

Сдaeтся нa длитeльный сpок шикарная квaртиpа . Полноcтью готoва к прoживaнию . 2 cпaльни , куxня гoстиная . Вся бытoвая тeхника . Устанoвлeн кoндиционep . 1 спальня , диван шкaф письмeнный cтол . 2 cпальня , кoмод , крoвaть тумба . всe нoвоe .",12,2,54.0,12.0,24.0,50,75000,75000,2023,25,False,1732115995
933338f2-a722-11ef-9564-168f5e928f4c,310196675,https://www.cian.ru/rent/flat/310196675/,Москва,ЗАО,р-н Можайский,улица Говорова,1,"Сдается чистая уютная квартира в экологически благоприятном районе г.Москва. 
До МЦД Сетунь 10 минут пешком! 
Есть все необходимое для проживания.
Вокруг развитая инфраструктура: кафе, магазины, школы, поликлиники, салоны красоты, парки, скверы для прогулок.
Оплачивается аренда за месяц, залог и комиссия 65 %. 
Заезд возможен в ближайшее время.
-----
Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону",2,1,34.0,7.0,18.0,0,50000,50000,1972,12,False,1732094669
e3505c3c-a815-11ef-9564-168f5e928f4c,310275604,https://www.cian.ru/rent/flat/310275604/,Москва,ЗАО,р-н Фили-Давыдково,Пинский проезд,3,"Номер лота - 1663645
Сдается квартира после  ремонта. Кухонный гарнитур, бытовая техника. Новый диван, современная стенка. Санузел совмещенный, душ кабина. Стеклопакеты.  Металлическая дверь,  решетки на окнах.  Рядом парк. Рассмотрим одну женшину или мужчину . ИНКОМ-Парк Культуры.",1,1,32.0,6.0,20.0,70,58000,58000,0,9,False,1732199732
8339e671-a6ca-11ef-a252-168f5e928f4c,310177927,https://www.cian.ru/rent/flat/310177927/,Москва,ЗАО,р-н Кунцево,Истринская улица,8,"Сдаётся на длительный срок уютная однокомнатная квартира на Истринской улице, 8к1 в Москве. Общая площадь — 36 кв. м, жилая — 15 кв. м, кухня — 9 кв. м. Квартира расположена на 12 этаже 16-этажного монолитного дома, построенного в 2004 году. Высокие потолки 2.7 метра создают ощущение простора. Из окон открывается вид во двор, что обеспечивает тишину и спокойствие.

В квартире сделан качественный евроремонт, еще никто не проживал.
Удобная планировка с одной комнатой, отдельной гардеробной комнатой, совмещённым санузлом и огромным балконом. 
В наличии вся необходимая мебель как в комнате, так и на кухне. 
Из техники есть микроволновая печь, плита, новый холодильник и новая стиральная машина. 
В ванной — полноценная ванна, где можно расслабиться после долгого дня.

Дом в отличном состоянии: есть как пассажирский, так и грузовой лифт, поэтому можно без проблем перемещаться с вещами. Для автомобилистов предусмотрена наземная парковка. В подъезде установлен пандус, а также есть мусоропровод, что делает проживание ещё более комфортным.

Инфраструктура района включает в себя все необходимые объекты. В пешей доступности находятся школы, детские сады, клиники и магазины. 
Отличная транспортная доступность — рядом остановки общественного транспорта, поэтому можно быстро добраться до любой точки города.
Метро в 10 минутах ходьбы.

Квартира сдаётся напрямую от собственника, что избавляет от лишних комиссий.  
Идеально подойдёт для одного человека или пары.

Неподалеку - школы, магазины, кафе, медцентры, почта, кафе, фитнес-клуб. 
Для прогулок - Природно-исторический парк Москворецкий, Суворовский парк, Москва река.
Удобный выезд на Рублевское и Можайское шоссе.

Рассмотрим всех порядочных и платежеспособных.
Строго без животных. 
Вода и свет оплачивается отдельно по счетчикам.",12,1,36.0,9.0,15.0,0,68000,68000,2004,16,False,1732053121
54c64606-a748-11ef-9564-168f5e928f4c,310226420,https://www.cian.ru/rent/flat/310226420/,Москва,СЗАО,р-н Хорошево-Мневники,Карамышевская набережная,48,"Предлагается 1-комнатная квартира общей площадью 40 м² недалеко от станции метро ""Народное Ополчение"". Для комфортного проживания в наличии имеется вся необходимая мебель, а также кондиционер. Кухонный гарнитур оснащен посудомоечной машиной, духовой печью. Подключена стиральная машина. Из дополнительных преимуществ - наличие балкона. Окна обращены на улицу.

Из основных достоинств дома: огороженная территория, охрана и подземный паркинг.

 - Страховой депозит можно оплатить 2-мя частями.
 - Можно с детьми и животными.

 - Объект представляет агент Capital Mars - Денис.
 - ID объекта 239573.",24,1,40.0,6.0,0.0,50,57000,57000,2006,27,False,1732111011
