cian_id,time_add,description,floor_number,rooms_count,total_area,url,city,zone,district,street,house,agent_fee,deposit,price,build_year,total_floors,is_apartments,kitchen_area,living_area,metro_1,transport_type_1,time_1,metro_2,transport_type_2,time_2,metro_3,transport_type_3,time_3
309853818,1731505086,"Сдаётся в аренду просторная двухкомнатная квартира в новом доме на улице Лётчика Осканова, 6. выделены под кухню. Квартира расположена на последнем, 33-м этаже дома, что обеспечивает потрясающий вид из окон. Высокие потолки в 3 метра добавляют пространства и создают атмосферу лёгкости.

В квартире сделан современный евроремонт, что позволяет вам сразу въехать и наслаждаться комфортом. Жилое пространство полностью меблировано, как и кухня, где установлены все необходимые бытовые приборы: кондиционер, холодильник, посудомоечная и стиральная машины. Планировка продумана до мелочей, а ванная комната оборудована ванной.

Дом, построенный в 2024 году, современный и удобно расположен. Есть наземная парковка, поэтому можно без проблем оставить машину. Для вашего удобства в доме предусмотрены 4 лифта: пассажирский и грузовой, что облегчает подъём с покупками или крупными вещами.

Район предлагает всё необходимое для комфортной жизни. В шаговой доступности находятся школы, детские сады и магазины. Это значит, что все необходимые услуги и товары всегда под рукой, а также есть возможность быстро добраться до образовательных учреждений.",33,2,48.0,https://www.cian.ru/rent/flat/309853818/,Москва,САО,р-н Западное Дегунино,улица Летчика Осканова,6,99,80000,80000,2019,33,False,9.0,30.0,Верхние Лихоборы,walk,6,Лихоборы,walk,13.0,Окружная,walk,19.0
309838150,1731446022,"ОПЕРАТИВНЫЙ ПОКАЗ!
Собственник будет на просмотре и подписании договора!
Юридическое сопровождение договора аренды: анализ необходимой документации, согласование проекта договора аренды с потенциальным арендатором!
				
Уютная светлая  квартира  по отличной цене !
Свежий ремонт!
Великолепный вид из окна!
Холодильник, телевизор, встроенная кухня, интернет, Wi-Fi.
Большая квартира с отличным ремонтом для аренды на длительный срок.
Имеется вся необходимая мебель и бытовая техника, кондиционер, телевизор, wi-fi роутер, стиральная машина, холодильник, кухонная техника, посуда.
Рядом находятся все магазины, аптеки, школа, детский сад, детские площадки, спортивная площадка, кафе, детские кружки, салоны красоты и спортивный клуб.
Зелёный район, множество парков вокруг, развитая инфраструктура района.
Сдаём на длительный срок.
У собственника могут быть дополнительные пожелания к жильцам.

На все Ваши вопросы ответит специалист Агентства Недвижимости Алексей",4,3,90.0,https://www.cian.ru/rent/flat/309838150/,Москва,ЮАО,р-н Чертаново Южное,Варшавское шоссе,152,50,120000,120000,2004,22,False,15.0,60.0,Улица Академика Янгеля,walk,5,Аннино,walk,12.0,Красный Строитель,walk,17.0
309816710,1731506125,"Сдается видовая двухкомнатная квартира в 10 минутах пешком от станции метро Каховская, Севастопольская , Чертановское после свежего косметического ремонта.

Отличная планировка квартиры (распашонка окна выходят на две стороны). Окна ПВХ, в коридоре и на кухне на полу плитка , санузел в плитке с теплым полом, в комнатах и в кладовой комнате ламинат, обои под покраску.
Квартира обставлена современной мебелью и техникой. В каждой комнате имеется кондиционер, также имеется в сан-узле водонагреватель. 
Прекрасно развита инфраструктура рядом много магазинов, школ, сетевых магазинов. 
Можно с ДЕТЬМИ школьного возраста, с животными обсуждается. 
Комиссия по факту заселения 50%.
Звоните! Пишите!",18,2,65.0,https://www.cian.ru/rent/flat/309816710/,Москва,ЮЗАО,р-н Зюзино,Симферопольский бульвар,24,50,70000,77000,2006,18,False,10.0,36.0,Чертановская,walk,8,Севастопольская,walk,9.0,Каховская,walk,12.0
309805908,1731407031,"Вашему вниманию представлена светлая, уютная 1-комнатная квартира в отличном апарт комплексе Легендарный квартал. В квартире сделан качественный, современный ремонт, имеется вся необходимая мебель. В шаговой доступности расположена вся инфраструктура для комфортного проживания. Рядом метро, парк, удобные выезды и дорожные развязки. Рассмотрим семейную пару РФ, строго без животных и вредных привычек.",3,1,32.0,https://www.cian.ru/rent/flat/309805908/,Москва,СВАО,р-н Останкинский,Березовая аллея,19,50,70000,70000,0,18,True,9.0,16.0,Ботанический сад,walk,16,Владыкино,transport,4.0,Свиблово,transport,5.0
309800765,1731476916,"Номер лота - 3495478
ГАРАНТИИ КОМПАНИИ!!!  Стильная красивая квартира с дизайнерским ремонтом.Большая кухня-гостиная - 30м2 и изолированная спальня - 15м2. Кухонный гарнитур встроенный со всей бытовой техникой от ведущих производителей, в том числе посудомоечная машина. Кондиционер. Современная мебель. Два бойлера. шкафы-купе. Видео-домофон. Интернет. Красивый вид из окна. Многоуровневый паркинг( машиноместо  не входит в стоимость). Удобная транспортная развязка, выезд в сторону Садового кольца в 3-х направлениях.

 ИНКОМ-Беляево.",18,2,64.0,https://www.cian.ru/rent/flat/309800765/,Москва,ЦАО,р-н Таганский,Нижегородская улица,25,40,130000,130000,0,24,False,8.0,27.0,Площадь Ильича,walk,18,Калитники,walk,9.0,Москва-Товарная,walk,14.0
309848044,1731493517,"Лучшее предложение по аренде! 

В аренду предлагается шикарная еврочетырехкомнатная квартира на 7 этаже в известном жилом комплексе премиум уровня LUCKY с дизайнерским ремонтом и панорамными окнами

ОТЛИЧНАЯ ПЛАНИРОВКА
133.6 кв м: просторная кухня-гостиная, мастер-спальня с собственным санузлом и гардеробной, две спальни, гостевой санузел, гардербная комната 

Меблирована кухня и комнаты, поэтому можно сразу заехать и жить

В объявлении все фотографии на 100% НАСТОЯЩИЕ, В ЖИВУЮ ДАЖЕ ЛУЧШЕ, ЧЕМ НА ФОТО

Квартал Lucky расположен в окружении четырех парковых зон: Красная Пресня, Красногвардейские пруды, парк Декабрьского восстания и Пресненский детский парк, в 200 метрах от станции метро ""Улица 1905 года""

Рядом с домом есть все необходимое для комфортной жизни: фитнес, салоны, рестораны, кафе, азбука вкуса, химчистка и тд.,магазины и клиники. Отличная транспортная доступность позволяет быстро добраться до любой точки города.

Оперативный показ и заезд!",7,4,133.6,https://www.cian.ru/rent/flat/309848044/,Москва,ЦАО,р-н Пресненский,улица Костикова,4,0,830000,830000,2023,20,False,0.0,0.0,Улица 1905 года,walk,9,Краснопресненская,walk,19.0,Баррикадная,transport,4.0
309815300,1731505281,"Мы на связи и будем рады вам помочь! 

- Фотографии соответствуют данному объекту! 
- Организуем МАКСИМАЛЬНО оперативный показ! 
- Договор аренды заключается ИСКЛЮЧИТЕЛЬНО с собственником жилья!

Отличный объект недвижимости для комфортной жизни! 
В квартире есть всё необходимое!

Развитая инфраструктура! Хотя где она в Москве не развитая?=)

Дети - цветы жизни - так же обсуждаются индивидуально!

При взаимной симпатии залог можно разбить на два месяца!

У собственника могут быть дополнительные пожелания к жильцам!",5,3,80.0,https://www.cian.ru/rent/flat/309815300/,Москва,ЮАО,р-н Даниловский,улица Архитектора Щусева,2,50,170000,170000,2019,6,False,10.0,60.0,ЗИЛ,walk,14,,,,,,
309794289,1731393853,"Уважаемые Арендаторы! Предлагаем вашему вниманию Стильную! Уютную квартиру в Евростандарте. Месторасположение в одном из лучших районов Москвы. 
Зона отдыха! Магазины! Школы! 
Детские сады! Отоличный двор! Воспитанные соседи, что не мало важно. Собственник рассмотрит Добропорядочных! Платежеспособных Арендаторов!
Это может быть семья не более 3 человек , либо один арендатор пол не имеет значения. Квартира будет готова к просмотру с  16. / ноября.
Обращаться по все вопросам, можно с 9.00. До 00.часов. 
Показ в удобное для, всех время. Ключи на руках. С. Уважнием.",1,1,40.0,https://www.cian.ru/rent/flat/309794289/,Москва,СВАО,р-н Ярославский,Ярославское шоссе,117,100,65000,65000,1978,12,False,8.0,20.0,Медведково,transport,9,Улица Сергея Эйзенштейна,transport,10.0,Ботанический сад,transport,11.0
309801232,1731446722,"Предлагается 3-комнатная квартира общей площадью 63 м² недалеко от станции метро ""Шипиловская"". Для комфортного проживания в наличии имеется вся необходимая мебель. Кухонный гарнитур оснащен духовой печью. Подключена стиральная машина. Из дополнительных преимуществ - наличие балкона. Окна обращены во двор и на улицу.

 - Можно с детьми.
 - Объект представляет агент Capital Mars - Ангелина.
 - ID объекта 700757.",9,3,63.0,https://www.cian.ru/rent/flat/309801232/,Москва,ЮАО,р-н Зябликово,Шипиловская улица,64,50,70000,70000,0,12,False,6.0,45.3,Шипиловская,walk,7,Красногвардейская,walk,15.0,Зябликово,walk,17.0
309801323,1731493805,"Сдаётся уютная однокомнатная квартира в Москве на Донецкой улице, 1. Общая площадь — 39.3 кв. м. Жилая площадь — 20.9 кв. м, с просторной кухней в 8.7 кв. м. Квартира расположена на 11 этаже 12-этажного панельного дома, построенного в 1979 году. Окна выходят во двор, что обеспечит вам тишину и покой. Есть балкон и лоджия, где можно наслаждаться свежим воздухом.

Квартира с евроремонтом и полностью меблирована. В комнате и на кухне есть вся необходимая мебель, а также техника: холодильник, телевизор и стиральная машина. Высота потолков 2.64 метра создаёт ощущение простора. Санузел отдельный, с ванной — идеальное место для расслабления после трудового дня.

Дом ухоженный, оборудован двумя пассажирскими лифтами и мусоропроводом. Наземная парковка позволит вам без труда найти место для автомобиля. 

В шаговой доступности находятся школы, детские сады, и магазины, что делает это место удобным для семейной жизни. Хорошая транспортная доступность — до ближайших остановок всего несколько минут пешком.
Залог при заселении можно разбить на 2 мес.
Сдается только на длительный срок. Рассмотрим порядочных платежеспособных аредаторов.",11,1,39.3,https://www.cian.ru/rent/flat/309801323/,Москва,ЮВАО,р-н Марьино,Донецкая улица,1,50,55000,55000,1979,12,False,8.7,20.9,Марьино,transport,4,Перерва,walk,16.0,Курьяново,walk,17.0
309859326,1731503920,"- Фотографии соответствуют данному объекту!  
- Организуем МАКСИМАЛЬНО оперативный показ!  
- Договор аренды заключается ИСКЛЮЧИТЕЛЬНО с собственником жилья! 
 
Отличный объект недвижимости для комфортной жизни! 

В квартире есть всё необходимое и даже больше: холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор Wi-Fi, телевидение

Развитая инфраструктура! Хотя где она в Москве не развитая?=) 
 
Дети - цветы жизни - так же обсуждаются индивидуально! 
 
При взаимной симпатии залог можно разбить на два месяца! 
  
У собственника могут быть дополнительные пожелания к жильцам!",4,2,42.0,https://www.cian.ru/rent/flat/309859326/,Москва,ЮАО,р-н Царицыно,Каспийская улица,30,50,80000,80000,1965,9,False,9.0,0.0,Царицыно,walk,4,Кантемировская,walk,20.0,,,
309821587,1731424042,"Дмитрий
Просторная и удобная квартира.
Сдается в долгосрочную аренду. Успейте снять свою идеальную квартиру!!! Отличное расположение. Экологичный район с развитой инфраструктурой.
В квартире есть вся необходимая для комфортной жизни техника.
Комнаты оборудованы удобной и стильной мебелью. Продуманы места хранения и отдыха.",11,2,50.0,https://www.cian.ru/rent/flat/309821587/,Москва,ЗАО,р-н Кунцево,Молодогвардейская улица,15,50,77500,77500,2009,23,False,5.0,0.0,Молодёжная,walk,15,Кунцевская,walk,16.0,Рабочий посёлок,walk,16.0
309868750,1731496961,"Сергей!!! Сдается шикарная 2х комнатная квартира .Дом раcполoжен в живoписном зеленoм рaйоне Oчaково- Мaтвеeвcкoe, a окна кваpтиpы выхoдят на лeгeндаpный сквeр c пoлувeковыми деpeвьями - излюбленнoe мecто oтдыxa и вcтpeч жителeй рaйoнa. Bo двoрe дoма - детский cад, вoкpуг дoмa в шагoвoй дocтупноcти oгрoмное количество магазинов - К&Б, Чижик, Верный, Пятерочка, Вкусвилл, Мяснов, Дикси, Дом книги - и аптеки. В любую точку Москвы и Подмосковья можно добраться с помощью МЦД - Д4 - станция МЦД Очаково в трёх минутах ходьбы от дома, а также на метро: Аминьевская (2 км), Озерная (2,5 км) и Юго-Западная (4 км). Для владельцев автомобилей - удобные современные транспортные развязки. Рядом с домом расположена школа искусств имени Микаэла Таривердиева и Моя поликлиника.
Квартира идеально подходит для семьи с детьми. Просторная детская комната с двухъярусной кроватью в стиле лондонского автобуса и тумбочкой с телевизором не перегружена мебелью. Уютная спальня для родителей с двуспальной кроватью и шкафом. В прихожей размещён роскошный шкаф-купе сливочного цвета. Кухня может стать и гостиной, так как бежевого цвета диван позволит прекрасно отдохнуть после рабочего дня. Здесь же стиральная машина - автомат, холодильник , индукционная на 4 конфорки варочная панель и духовка. Квартира впервые сдается в аренду, чистая и ухоженная, после косметического ремонта.Все подробности по телефону!!!",4,2,55.0,https://www.cian.ru/rent/flat/309868750/,Москва,ЗАО,р-н Очаково-Матвеевское,улица Наташи Ковшовой,17,50,75000,74990,2002,14,False,12.0,31.0,Озёрная,walk,16,Очаково,walk,4.0,Аминьевская,transport,5.0
309884269,1731509021,"Сдается светлая уютная студия в ЖК ""Римского-Корсакова"".

СВОБОДНА и ГОТОВА к заселению. Оперативный показ.
В объявлении добавлен ВИДЕООБЗОР.

Развитая транспортная инфраструктура: остановка общественного транспорта в 300 метрах от дома, метро Отрадное в 20 мин ПЕШКОМ. Удобный выезд на Алтуфьевское шоссе, СВХ и МКАД.

В студии есть вся необходимая мебель для комфортного проживания. Продуманная система хранения позволит удобно разместить все ваши вещи. Спальное место - двухспальная кровать 140*200. Кухонный гарнитур со всем необходимым + кухонный уголок с удобной столешницей и диваном - разделяют зоны кухни и комнаты. Техника: студия сдается с холодильником, индукционной варочной панелью, стиральной машиной, кондиционером. 
С/у совмещенный с душевой кабиной, сантехника в отличном состоянии. Окна выходят на улицу. В квартире очень тепло и много света. Интернет проведен.

Наземная парковка. Чистый современный подъезд. Закрытая территория, детские игровые и спортивные площадки, домофон имеет камеры на этаже и в подъезде, с возможностью просмотра через телефон (не находясь дома).

Развитая инфраструктура микрорайона: детские сады и школы в пешей доступности (5-10 минут), кофейни, салоны, магазины - Пятерочка, Дикси, Чижик, ВкусВилл, аптеки.
Для прогулок - зеленый массив парка Чермянка и несколько скверов

Рассмотрим: 
семейную пару БЕЗ ДЕТЕЙ или 1 взрослого с 1 ребенком.
мужчин/женщин (одного). 

Цена: 65 000 тыс. + счетчики (свет, вода, интернет).
Страховой депозит: 100% (65 000 руб.) разбивается на 2 платежа.
Агентская комиссия 80% один раз. 
Звоните, уважаемые клиенты!",13,0,27.0,https://www.cian.ru/rent/flat/309884269/,Москва,СВАО,р-н Отрадное,улица Римского-Корсакова,11,80,65000,65000,2019,13,False,5.0,0.0,Отрадное,walk,19,Дегунино,transport,6.0,Бибирево,transport,7.0
